sector,count
L151,1
L91,2
L31,1
L86,1
L225,2
L127,1
L32,1
L33,5
L63,3
L235,3
L247,1
L93,1
L64,1
L1,1
L169,2
L141,1
L54,2
L171,1
L258,1
L34,1
L39,1
L229,1
L175,2
L203,1
L237,1
L184,1
L142,3
L211,1
L257,1
L150,2
L207,2
L55,1
L56,1
L78,2
L236,4
L182,1
L139,1
L253,2
L23,2
L4,1
L7,5
L157,8
L174,2
L228,6
L89,2
L204,3
L42,3
L172,2
L131,5
L3,3
L212,2
L216,3
L188,2
L160,3
L155,5
L176,1
L177,2
L185,4
L110,3
L162,6
L29,1
L221,1
L179,1
L94,1
L95,1
L154,1
L243,2
L137,6
L43,1
L194,2
L45,1
L183,2
L238,4
L96,2
L77,1
L30,4
L5,1
L81,1
L15,2
L208,3
L209,6
L103,5
L145,2
L166,1
L50,3
L52,2
L58,4
L115,5
L116,1
L117,5
L84,6
L88,3
L51,4
L123,2
L67,5
L186,2
L187,2
L85,2
L200,3
L73,4
L134,1
L101,5
L112,4
L20,2
L60,1
L190,1
L21,3
L46,3
L65,9
L140,2
L61,6
L11,5
L12,2
L72,3
L181,5
L62,3
L109,1
L13,1
L105,3
L26,1
L27,1
L19,1
L124,1
L48,1
L9,1
L144,1
L261,6
L152,1
L153,1
L111,1
L214,3
L262,2
L41,1
L224,1
L22,3
L219,1
L220,2
L215,2
L189,2
L38,1
L66,1
L227,1
L135,4
L2,4
L161,1
L230,3
L217,1
L59,1
L53,1
L36,1
L192,4
L260,2
L44,2
L218,3
L121,1
L118,5
L143,4
L35,7
L170,6
L249,2
L244,1
L122,1
L17,1
L113,1
L74,1
L97,1
L255,2
L106,1
L254,1
L18,1
L129,3
L250,1
L79,2
L239,3
L232,3
L71,1
L202,2
L130,2
L148,3
L6,1
L128,1
L206,3
L24,1
L80,2
L158,1
L156,4
L40,1
L178,2
L57,1
L226,1
L107,2
L146,1
L16,1
L245,2
L104,4
L252,2
L98,3
L76,3
L193,1
L205,4
L199,1
L222,1
L173,2
L120,1
L240,1
L231,2
L210,1
L28,2
L242,3
L10,2
L8,1
L138,5
L256,3
L241,2
L70,3
L133,3
L102,1
L92,1
L248,2
L47,4
L233,1
L213,1
L119,3
L100,2
L99,1
L159,1
L197,2
L87,1
L25,1
L223,1
L246,2
L75,1
L251,1
L163,1
L147,1
L234,1
L108,1
